hand_number,player_name,hand_profit,cumulative_pnl,stack_after_hand
0,GTO Baseline,4,4,10000000002
0,GTO Baseline2,-1,-1,9999999998
1,GTO Baseline2,2701508728,2701508727,12701508724
1,GTO Baseline,-2701508725,-2701508721,7298491276
2,GTO Baseline,58,-2701508663,7298491332
2,GTO Baseline2,-55,2701508672,12701508668
3,GTO Baseline2,55,2701508727,12701508721
3,GTO Baseline,-52,-2701508715,7298491279
4,GTO Baseline,-4,-2701508719,7298491273
4,GTO Baseline2,7,2701508734,12701508727
5,GTO Baseline2,71,2701508805,12701508796
5,GTO Baseline,-68,-2701508787,7298491204
6,GTO Baseline,4,-2701508783,7298491206
6,GTO Baseline2,-1,2701508804,12701508794
7,GTO Baseline2,8,2701508812,12701508800
7,GTO Baseline,-5,-2701508788,7298491200
8,GTO Baseline,2,-2701508786,7298491200
8,GTO Baseline2,1,2701508813,12701508800
9,GTO Baseline2,-7298491198,-4596982385,5403017600
9,GTO Baseline,-7298491199,-9999999985,0
